Fluke 8508A Reference Multimeter Calibration Template
,,,,,,,,,,
Instrument Information,,,,,,,,,,
Instrument,Fluke 8508A Reference Multimeter,,,,,,,,,
Serial Number,[Enter Serial Number],,,,,,,,,
Calibration Date,[Enter Date],,,,,,,,,
Next Calibration Due,[Enter Date],,,,,,,,,
Technician,[Enter Name],,,,,,,,,
Temperature (°C),[Enter Temperature],,,,,,,,,
Humidity (%),[Enter Humidity],,,,,,,,,
Warm-up Time (min),[Enter Time >= 60min],,,,,,,,,
,,,,,,,,,,
DC Voltage Calibration,,,,,,,,,,
Range,Test Point,Applied Value (V),Measured Value (V),Error (V),Error (ppm),Tolerance (ppm),Pass/Fail,Comments,
200mV,0.000000V,,,,,±5,,
200mV,100.00000mV,,,,,±5,,
200mV,200.00000mV,,,,,±5,,
2V,0.0000000V,,,,,±4,,
2V,1.0000000V,,,,,±4,,
2V,2.0000000V,,,,,±4,,
20V,0.000000V,,,,,±4,,
20V,10.000000V,,,,,±4,,
20V,20.000000V,,,,,±4,,
200V,0.00000V,,,,,±5,,
200V,100.00000V,,,,,±5,,
200V,200.00000V,,,,,±5,,
1000V,0.0000V,,,,,±6,,
1000V,500.0000V,,,,,±6,,
1000V,1000.0000V,,,,,±6,,
,,,,,,,,,,
AC Voltage Calibration (45Hz-1kHz),,,,,,,,,,
Range,Frequency,Test Point,Applied Value (V),Measured Value (V),Error (V),Error (ppm),Tolerance (ppm),Pass/Fail,Comments
200mV,60Hz,100.00000mV,,,,±100,,
200mV,400Hz,100.00000mV,,,,±100,,
200mV,1kHz,100.00000mV,,,,±100,,
2V,60Hz,1.0000000V,,,,±80,,
2V,400Hz,1.0000000V,,,,±80,,
2V,1kHz,1.0000000V,,,,±80,,
20V,60Hz,10.000000V,,,,±80,,
20V,400Hz,10.000000V,,,,±80,,
20V,1kHz,10.000000V,,,,±80,,
200V,60Hz,100.00000V,,,,±100,,
200V,400Hz,100.00000V,,,,±100,,
200V,1kHz,100.00000V,,,,±100,,
750V,60Hz,500.00000V,,,,±120,,
750V,400Hz,500.00000V,,,,±120,,
750V,1kHz,500.00000V,,,,±120,,
,,,,,,,,,,
DC Current Calibration,,,,,,,,,,
Range,Test Point,Applied Value (A),Measured Value (A),Error (A),Error (ppm),Tolerance (ppm),Pass/Fail,Comments,
200µA,0.000000µA,,,,,±25,,
200µA,100.000000µA,,,,,±25,,
200µA,200.000000µA,,,,,±25,,
2mA,0.0000000mA,,,,,±20,,
2mA,1.0000000mA,,,,,±20,,
2mA,2.0000000mA,,,,,±20,,
20mA,0.000000mA,,,,,±25,,
20mA,10.000000mA,,,,,±25,,
20mA,20.000000mA,,,,,±25,,
200mA,0.00000mA,,,,,±50,,
200mA,100.00000mA,,,,,±50,,
200mA,200.00000mA,,,,,±50,,
2A,0.0000A,,,,,±300,,
2A,1.0000A,,,,,±300,,
2A,2.0000A,,,,,±300,,
20A,0.000A,,,,,±500,,
20A,10.000A,,,,,±500,,
20A,20.000A,,,,,±500,,
,,,,,,,,,,
Resistance Calibration (2-wire),,,,,,,,,,
Range,Test Point,Applied Value (Ω),Measured Value (Ω),Error (Ω),Error (ppm),Tolerance (ppm),Pass/Fail,Comments,
2Ω,0.000000Ω,,,,,±50,,
2Ω,1.000000Ω,,,,,±50,,
2Ω,2.000000Ω,,,,,±50,,
20Ω,0.00000Ω,,,,,±30,,
20Ω,10.00000Ω,,,,,±30,,
20Ω,20.00000Ω,,,,,±30,,
200Ω,0.0000Ω,,,,,±20,,
200Ω,100.0000Ω,,,,,±20,,
200Ω,200.0000Ω,,,,,±20,,
2kΩ,0.000Ω,,,,,±15,,
2kΩ,1000.000Ω,,,,,±15,,
2kΩ,2000.000Ω,,,,,±15,,
20kΩ,0.00Ω,,,,,±15,,
20kΩ,10000.00Ω,,,,,±15,,
20kΩ,20000.00Ω,,,,,±15,,
200kΩ,0.0Ω,,,,,±20,,
200kΩ,100000.0Ω,,,,,±20,,
200kΩ,200000.0Ω,,,,,±20,,
2MΩ,0Ω,,,,,±40,,
2MΩ,1000000Ω,,,,,±40,,
2MΩ,2000000Ω,,,,,±40,,
20MΩ,10000000Ω,,,,,±200,,
20MΩ,20000000Ω,,,,,±200,,
200MΩ,100000000Ω,,,,,±2000,,
200MΩ,200000000Ω,,,,,±2000,,
2GΩ,1000000000Ω,,,,,±5000,,
2GΩ,2000000000Ω,,,,,±5000,,
20GΩ,10000000000Ω,,,,,±15000,,
20GΩ,20000000000Ω,,,,,±15000,,
,,,,,,,,,,
Frequency Calibration,,,,,,,,,,
Range,Test Point,Applied Value (Hz),Measured Value (Hz),Error (Hz),Error (ppm),Tolerance (ppm),Pass/Fail,Comments,
100kHz,1.000000Hz,,,,,±5,,
100kHz,10.00000Hz,,,,,±5,,
100kHz,100.0000Hz,,,,,±5,,
100kHz,1000.000Hz,,,,,±5,,
100kHz,10000.00Hz,,,,,±5,,
100kHz,100000.0Hz,,,,,±5,,
,,,,,,,,,,
Temperature Coefficient Test,,,,,,,,,,
Function,Range,Test Point,Temp (°C),Reading,Temp (°C),Reading,Temp Coeff,Specification,Pass/Fail,Comments
DCV,10V,10.000000V,18,,28,,per °C,≤ Spec/5,
DCI,10mA,10.000000mA,18,,28,,per °C,≤ Spec/5,
Resistance,10kΩ,10000.000Ω,18,,28,,per °C,≤ Spec/5,
,,,,,,,,,,
Linearity Test (10V Range),,,,,,,,,,
Test Point,Applied Value (V),Measured Value (V),Error (V),Error (ppm),Tolerance (ppm),Pass/Fail,Comments,,,
-10V,-10.000000V,,,,,±4,,
-5V,-5.000000V,,,,,±4,,
-1V,-1.000000V,,,,,±4,,
0V,0.000000V,,,,,±4,,
1V,1.000000V,,,,,±4,,
5V,5.000000V,,,,,±4,,
10V,10.000000V,,,,,±4,,
,,,,,,,,,,
Short-term Stability Test (24 hour),,,,,,,,,,
Time (hrs),DCV 10V Reading,DCI 10mA Reading,Resistance 10kΩ Reading,Comments,,,,,
0,[Initial Reading],[Initial Reading],[Initial Reading],,,,,,
1,,,,,,,,,
2,,,,,,,,,
4,,,,,,,,,
8,,,,,,,,,
12,,,,,,,,,
24,,,,,,,,,
Stability (ppm),≤ 0.5 ppm,≤ 2 ppm,≤ 1 ppm,,,,,,
Pass/Fail,,,,,,,,,
,,,,,,,,,,
Calibration Summary,,,,,,,,,,
Total Test Points,[Auto Count],,,,,,,,,
Passed Points,[Auto Count],,,,,,,,,
Failed Points,[Auto Count],,,,,,,,,
Overall Result,[Pass/Fail],,,,,,,,,
,,,,,,,,,,
Environmental Conditions,,,,,,,,,,
Parameter,Start,End,Specification,Pass/Fail,Comments,,,,,
Temperature (°C),[Record],[Record],23 ± 5°C,,,,,
Humidity (%RH),[Record],[Record],≤ 80%,,,,,
Warm-up Time (min),[Record],,[≥ 60 min],,,,,
,,,,,,,,,,
Calibration Standards Used,,,,,,,,,,
Standard,Model,Serial Number,Cal Date,Cal Due,Uncertainty,Traceability,,,,,
